DateTime,Entries,UniqueIPs
1445655363,1209,1209
1445658963,1175,1175
1445662564,1170,1170
1445666163,1161,1161
1445669764,1161,1161
1445673364,1163,1163
1445676963,1187,1187
1445680564,1169,1169
1445684163,1188,1188
1445687764,1178,1178
1445691363,1191,1191
1445694963,1184,1184
1445698564,1194,1194
1445702164,1202,1202
1445705764,1179,1179
1445709363,1201,1201
1445712963,1166,1166
1445716564,1179,1179
1445720164,1164,1164
1445723763,1145,1145
1445727364,1149,1149
1445730963,1173,1173
1445734563,1167,1167
1445738163,1171,1171
1445741763,1170,1170
1445745363,1184,1184
1445748964,1159,1159
1445752563,1161,1161
1445766991,1051,1051
1445770563,1099,1099
1445774163,1128,1128
1445777764,1116,1116
1445781365,1094,1094
1445784963,1054,1054
1445788564,1072,1072
1445792163,1077,1077
1445795763,1052,1052
1445799364,1060,1060
1445802964,1037,1037
1445806563,1016,1016
1445810163,1008,1008
1445813764,1046,1046
1445817363,1024,1024
1445820964,1036,1036
1445824563,1037,1037
1445828163,1075,1075
1445831764,1052,1052
1445835363,1058,1058
1445838964,1083,1083
1445842563,1046,1046
1445846163,1068,1068
1445849764,1088,1088
1445853364,1117,1117
1445856963,1132,1132
1445860563,1125,1125
1445864164,1093,1093
1445867763,1115,1115
1445871363,1112,1112
1445874963,1094,1094
1445878563,1086,1086
1445882164,1105,1105
1445885763,1075,1075
1445889363,1100,1100
1445892963,1103,1103
1445896564,1092,1092
1445900164,1086,1086
1445903763,1069,1069
1445907363,1068,1068
1445910964,1099,1099
1445914563,1082,1082
1445918164,1076,1076
1445921763,1104,1104
1445925363,1073,1073
1445928963,1123,1123
1445932564,1120,1120
1445936163,1152,1152
1445939791,1119,1119
1445943391,1102,1102
1445946991,1081,1081
1445950563,1097,1097
1445954163,1081,1081
1445957764,1103,1103
1445961363,1107,1107
1445964964,1114,1114
1445968563,1100,1100
1445972164,1061,1061
1445975763,1064,1064
1445979364,1081,1081
1445982964,1035,1035
1445986563,1082,1082
1445990163,1093,1093
1445993764,1081,1081
1445997363,1085,1085
1446000963,1087,1087
1446004564,1098,1098
1446008164,1100,1100
1446011763,1094,1094
1446015363,1045,1045
1446018963,1051,1051
1446022563,1001,1001
1446026163,1036,1036
1446029764,1066,1066
1446033363,1092,1092
1446036964,1143,1143
1446040563,1145,1145
1446044163,1129,1129
1446047763,1163,1163
1446054964,1132,1132
1446058564,1145,1145
1446062163,1146,1146
1446065763,1140,1140
1446069364,1135,1135
1446072964,1116,1116
1446076564,1128,1128
1446080164,1116,1116
1446083763,1084,1084
1446087363,1106,1106
1446090963,1122,1122
1446094563,1133,1133
1446098163,1139,1139
1446101763,1121,1121
1446105363,1107,1107
1446108963,1130,1130
1446112563,1112,1112
1446116164,1114,1114
1446119763,1135,1135
1446123363,1107,1107
1446126964,1089,1089
1446130563,1114,1114
1446134163,1058,1058
1446137763,1100,1100
1446141364,1120,1120
1446144966,1093,1093
1446148563,1118,1118
1446152164,1118,1118
1446155764,1116,1116
1446159363,1126,1126
1446166563,1153,1153
1446170163,1139,1139
1446173764,1155,1155
1446177364,1175,1175
1446180965,1185,1185
1446184563,1193,1193
1446188164,1177,1177
1446191764,1220,1220
1446195363,1222,1222
1446198964,1218,1218
1446202564,1186,1186
1446206163,1206,1206
1446209764,1191,1191
1446213363,1183,1183
1446216964,1149,1149
1446220564,1172,1172
1446224163,1145,1145
1446227763,1140,1140
1446231363,1111,1111
1446234965,1131,1131
1446238564,1079,1079
1446242164,1056,1056
1446245764,1038,1038
1446249363,1054,1054
1446252964,1032,1032
1446256564,1050,1050
1446260165,1026,1026
1446263764,1010,1010
1446267363,994,994
1446270964,972,972
1446274563,950,950
1446278163,965,965
1446281763,920,920
1446285363,969,969
1446288963,967,967
1446292563,970,970
1446296163,988,988
1446299763,975,975
1446303364,982,982
1446306963,984,984
1446310564,985,985
1446314163,988,988
1446317763,1011,1011
1446321363,1011,1011
1446324964,1029,1029
1446328563,1021,1021
1446332164,1014,1014
1446335763,1040,1040
1446339363,1024,1024
1446342963,1014,1014
1446346564,1041,1041
1446350163,1050,1050
1446353763,1054,1054
1446357364,1061,1061
1446360964,1066,1066
1446364564,1031,1031
1446368163,1042,1042
1446371763,1020,1020
1446375363,1024,1024
1446378963,1019,1019
1446382563,1013,1013
1446386164,1036,1036
1446389763,1032,1032
1446393363,1009,1009
1446396965,1051,1051
1446400563,1046,1046
1446404164,1013,1013
1446407764,1044,1044
1446411364,1025,1025
1446414963,1019,1019
1446418564,1057,1057
1446422163,1068,1068
1446425763,1067,1067
1446436564,1040,1040
1446440163,1040,1040
1446443763,1054,1054
1446447364,1084,1084
1446450963,1079,1079
1446458163,1101,1101
1446461763,1103,1103
1446465364,1124,1124
1446468963,1120,1120
1446472563,1102,1102
1446476164,1116,1116
1446479763,1086,1086
1446486964,1093,1093
1446490563,1053,1053
1446494163,1079,1079
1446497764,1047,1047
1446501364,1070,1070
1446504963,1063,1063
1446508564,1098,1098
1446512163,1081,1081
1446515764,1041,1041
1446519363,1065,1065
1446522963,1051,1051
1446526563,1072,1072
1446530164,1070,1070
1446533764,1051,1051
1446537366,1049,1049
1446540964,1065,1065
1446544563,1074,1074
1446548164,1095,1095
1446551763,1092,1092
1446555364,1110,1110
1446558963,1092,1092
1446562564,1088,1088
1446566164,1069,1069
1446569763,1087,1087
1446573363,1091,1091
1446576963,1100,1100
1446580564,1089,1089
1446584163,1098,1098
1446587763,1048,1048
1446591364,1102,1102
1446598563,1081,1081
1446602164,1067,1067
1446605764,1092,1092
1446609364,1093,1093
1446616563,1071,1071
1446623763,1060,1060
1446627363,1046,1046
1446630964,1077,1077
1446634563,1052,1052
1446638164,1070,1070
1446641764,1046,1046
1446645363,1063,1063
1446648964,1041,1041
1446652564,1073,1073
1446666963,1084,1084
1446670564,1064,1064
1446677764,1044,1044
1446681364,1028,1028
1446688563,1019,1019
1446692163,1001,1001
1446695763,1013,1013
1446699364,1000,1000
1446702963,1021,1021
1446706563,1012,1012
1446710164,1020,1020
1446713763,1020,1020
1446717364,1065,1065
1446720964,1080,1080
1446724564,1065,1065
1446728163,1065,1065
1446731764,1052,1052
1446735363,1034,1034
1446738964,1053,1053
1446742563,977,977
1446746164,995,995
1446749764,1010,1010
1446753364,1010,1010
1446756964,975,975
1446760564,1000,1000
1446764164,1012,1012
1446767763,1037,1037
1446771363,1024,1024
1446774963,1013,1013
1446778563,1025,1025
1446782163,1021,1021
1446785764,1000,1000
1446789363,1009,1009
1446792964,987,987
1446796563,1020,1020
1446800163,991,991
1446803763,1015,1015
1446807363,993,993
1446810963,1026,1026
1446814563,998,998
1446818164,1014,1014
1446821764,1014,1014
1446825364,1006,1006
1446828964,1013,1013
1446832563,1009,1009
1446836164,1007,1007
1446839764,1023,1023
1446846963,989,989
1446854164,1018,1018
1446857764,1036,1036
1446861363,1033,1033
1446868564,1014,1014
1446872163,1035,1035
1446875764,1030,1030
1446879366,1016,1016
1446882964,1012,1012
1446886566,1042,1042
1446890163,1040,1040
1446893764,1059,1059
1446897363,1053,1053
1446900963,1071,1071
1446908164,1068,1068
1446911763,1051,1051
1446915363,1045,1045
1446918963,1031,1031
1446922564,1048,1048
1446926163,1006,1006
1446929763,1023,1023
1446933364,990,990
1446936963,1016,1016
1446944164,1047,1047
1446947764,996,996
1446954963,1027,1027
1446958564,1012,1012
1446962163,1000,1000
1446965763,1023,1023
1446969363,1027,1027
1446972964,987,987
1446976563,1017,1017
1446980164,1026,1026
1446983763,1060,1060
1446987364,1045,1045
1446990964,1073,1073
1446994564,1069,1069
1446998163,1101,1101
1447001763,1074,1074
1447005363,1086,1086
1447008964,1072,1072
1447012565,1084,1084
1447016164,1074,1074
1447019763,1095,1095
1447023363,1070,1070
1447026964,1091,1091
1447030563,1070,1070
1447034163,1076,1076
1447037764,1068,1068
1447044963,1084,1084
