DateTime,Entries,UniqueIPs
1446468722,20047,23261
1446471121,20054,23268
1446471182,20067,23281
1446474722,20031,23245
1446477121,20055,23269
1446478322,20059,23273
1446479522,20076,23290
1446481922,20077,23291
1446481981,20079,23293
1446483122,20082,23296
1446483722,20081,23295
1446484922,20083,23297
1446489121,20084,23298
1446490322,20131,23347
1446491522,20121,23337
1446495122,20118,23333
1446496321,20119,23334
1446496381,20085,23300
1446498721,20086,23301
1446501122,20097,23312
1446502322,20091,23306
1446504721,20105,23320
1446507122,20107,23323
1446508322,20109,23325
1446509522,20110,23326
1446510722,20111,23327
1446510782,20089,23305
1446511922,20077,23293
1446513722,20076,23292
1446514922,20075,23291
1446516722,20076,23292
1446520321,20069,23285
1446521522,20070,23286
1446521582,20096,23313
1446523922,20119,23336
1446525182,20105,23321
1446527523,20106,23322
1446528781,20107,23323
1446532321,20130,23346
1446534721,20078,23294
1446539521,20076,23292
1446539581,20077,23293
1446540721,20080,23297
1446541922,20078,23295
1446543122,20030,23247
1446546721,20031,23248
1446547921,20032,23249
1446549122,20035,23252
1446550322,20036,23253
1446552722,20010,23225
1446556322,20011,23226
1446557522,20014,23229
1446557582,20038,23253
1446558722,20041,23256
1446559922,20042,23257
1446561122,20009,23222
1446563523,20006,23219
1446564722,20008,23221
1446565922,20013,23226
1446568382,20024,23237
1446570722,20020,23233
1446571922,19988,23201
1446573284,20083,23300
1446577922,20083,23300
1446579122,20080,23297
1446579182,20074,23290
1446580322,20061,23277
1446582721,20065,23281
1446584521,20060,23275
1446585721,20063,23278
1446588722,20065,23280
1446589922,20066,23281
1446592322,20063,23278
1446593522,20079,23294
1446595922,20032,23246
1446598322,20071,23286
1446600722,20071,23286
1446604321,20038,23253
1446606721,20035,23250
1446609122,20036,23251
1446610322,20078,23294
1446612722,20052,23268
1446613921,20055,23271
1446615122,20057,23273
1446616322,20058,23274
1446616922,20059,23275
1446618121,20057,23272
1446622322,20058,23273
1446623522,20073,23288
1446624722,20033,23248
1446629522,20036,23251
1446630723,20037,23252
1446631921,20030,23245
1446633121,20049,23266
1446634322,20050,23267
1446635521,19997,23214
1446639122,19994,23211
1446640322,19996,23213
1446641521,19997,23214
1446642722,20020,23237
1446646322,19996,23213
1446647521,19997,23214
1446652322,20018,23235
1446653521,20015,23232
1446654722,19984,23200
1446655921,19998,23215
1446657121,20002,23219
1446658322,20017,23236
1446668524,20069,23293
1446673986,20003,23227
1446675121,20001,23225
1446678122,20002,23226
1446679322,20021,23246
1446679922,20023,23248
1446681122,20007,23231
1446682321,20008,23232
1446683582,20026,23249
1446685921,20027,23250
1446688321,20028,23251
1446689522,20010,23228
1446690721,20009,23227
1446694382,20052,23279
1446696722,20049,23277
1446697922,20031,23259
1446702963,20028,23256
1446708781,20026,23253
1446710164,20028,23255
1446710547,20040,23267
1446715981,20030,23258
1446717107,20007,23235
1446717364,20010,23238
1446724564,20013,23241
1446730382,20025,23253
1446733982,19966,23192
1446739634,19992,23220
1446741181,19966,23193
1446744782,19972,23199
1446746164,19973,23200
1446748381,20034,23263
1446749512,20024,23253
1446753364,20021,23250
1446755581,20022,23251
1446759181,20039,23268
1446760564,20041,23270
1446762782,20014,23243
1446763344,19995,23225
1446767763,19992,23221
1446774963,20014,23241
1446780781,19997,23224
1446782163,19993,23220
1446787982,19978,23209
1446789363,19975,23206
1446793205,19991,23224
1446796563,19965,23198
1446802382,19971,23204
1446803763,19973,23205
1446805981,19942,23174
1446810963,19965,23197
1446814932,19960,23190
1446818164,19966,23196
1446823981,19946,23179
1446825364,19948,23181
1446827582,19963,23194
1446828964,19966,23197
1446831182,20036,23272
1446832563,20035,23271
1446836504,20059,23295
1446838382,20055,23293
1446839764,20064,23302
1446843738,20075,23314
1446846963,20070,23309
1446850909,20046,23285
1446854164,20038,23279
1446859982,20055,23296
1446861363,20053,23294
1446867182,20025,23266
1446868564,20068,23310
1446875764,20069,23311
1446880203,20085,23327
1446883498,20074,23318
1446885181,20096,23341
1446890163,20097,23343
1446892382,20072,23317
1446892940,20089,23334
1446897363,20090,23335
1446899581,20052,23297
1446900130,20062,23308
1446906782,20061,23307
1446908164,20040,23286
1446913982,20050,23296
1446915733,20116,23364
1446918963,20119,23367
1446922933,20194,23443
1446924782,20196,23444
1446928382,20194,23442
1446929763,20195,23443
1446931982,20196,23444
1446935581,20203,23451
1446936963,20163,23411
1446942782,20164,23412
1446944164,20164,23412
1446948743,20169,23416
1446952177,20187,23434
1446954963,20187,23434
1446957747,20219,23467
1446962163,20204,23449
1446969363,20216,23461
1446974522,20133,23377
1446975721,20136,23380
1446977523,20134,23378
1446978721,20136,23380
1446979922,20153,23397
1446982322,20136,23381
1446984722,20133,23379
1446985921,20141,23388
1446989521,20153,23400
1446990721,20154,23401
1446991922,20136,23380
1446993121,20139,23383
1446994321,20141,23386
1446996722,20144,23389
1446996782,20154,23400
1446997922,20155,23401
1446999122,20197,23444
1447000324,20168,23415
1447000381,20167,23414
1447002722,20182,23429
1447005121,20183,23430
1447005363,20180,23427
1447009333,20195,23442
1447011181,20201,23447
1447012565,20195,23441
1447017140,20184,23430
1447019763,20182,23428
1447023706,20189,23435
1447023735,20180,23425
1447025581,20179,23424
1447026964,20178,23423
1447030930,20176,23421
1447034163,20174,23419
1447038734,20166,23411
1447039982,20163,23408
1447044963,20171,23417
1447047736,20176,23422
1447052164,20156,23401
1447057982,20159,23404
1447059363,20168,23413
1447063324,20146,23390
1447065181,20145,23389
1447066563,20145,23389
1447071136,20160,23405
1447073764,20159,23404
1447077698,20154,23399
